No.,Brand Code,Brand Name,MISUMI Part No.,Product Name,Quantity,Unit Price,Amount
47,MSM1,MISUMI,SSFHR15-148,ROTARY SHAFT,1,21.32,21.32
48,MSM1,MISUMI,CLBU15-19-9,COLLAR,2,13.58,27.16
49,MSM1,MISUMI,BGRAB6002ZZ,BEARING W/ HOUSING,2,14.6,29.2
50,MSM1,MISUMI,SCSLAW15-19,SET COLLAR,2,10.67,21.34
51,MSM1,MISUMI,PSCBSJ25-29,SET COLLAR,2,10.12,20.24
52,MSM1,MISUMI,CLBU25-28-10,COLLAR,1,14.96,14.96
53,MSM1,MISUMI,CLBP25-29-7,COLLAR,1,15.42,15.42
54,MSM1,MISUMI,CLBPB25-36-2,COLLAR,1,18.18,18.18
55,MSM1,MISUMI,FL6905ZZ,BEARINGS,1,40.48,40.48
56,MSM1,MISUMI,TBN101MXL037,Timing Belts,1,4.2,4.2
57,MSM1,MISUMI,ATP72MXL037-B-P10,STANDARD PULL,1,37.11,37.11
58,MSM1,MISUMI,TBN100MXL025,Timing Belts,1,3.2,3.2
59,MSM1,MISUMI,TBN88MXL037,Timing Belts,1,4,4
60,MSM1,MISUMI,SSFHR10-80,ROTARY SHAFT,1,13.52,13.52
61,MSM1,MISUMI,SSFHR10-115,ROTARY SHAFT,1,15.86,15.86
62,MSM1,MISUMI,SCLSJ10-14,SET COLLAR,1,8.47,8.47
63,MSM1,MISUMI,SCSTR10-10,SET COLLAR,1,6.93,6.93
64,MSM1,MISUMI,SCST10-8,SET COLLAR,3,5.72,17.16
65,MSM1,MISUMI,SCBNJ10-14,SET COLLAR,1,8.47,8.47
66,MSM1,MISUMI,SBARB6000ZZ-40,BEARING W/HOLDER,1,67.08,67.08
67,MSM1,MISUMI,FL6900ZZ,BEARINGS,2,10.35,20.7
68,MSM1,MISUMI,CLBU10-14-2.5,COLLAR,2,12.2,24.4
69,MSM1,MISUMI,CLBP10-14-4,COLLAR,2,10.98,21.96
70,MSM1,MISUMI,ATP72MXL025-B-P10,STANDARD PULL,1,26.77,26.77
71,MSM1,MISUMI,ATP50MXL037-B-P10,STANDARD PULL,1,25.28,25.28
72,MSM1,MISUMI,ATP16MXL037-K-P5,STANDARD PULL,1,15.12,15.12
73,MSM1,MISUMI,ATP16MXL025-K-P5,STANDARD PULL,1,12.81,12.81
74,MSM1,MISUMI,SSFHR25-165,ROTARY SHAFT,1,23.16,23.16
75,MSM1,MISUMI,ATP60XL037-A-P25,STANDARD PULL,1,27.65,27.65
76,MSM1,MISUMI,MSSK6-5,SET SCREWS DIMPLE,2,1.56,3.12
77,MSM1,MISUMI,TBN160XL037,Timing Belts,1,5.9,5.9
78,MSM1,MISUMI,SCSTR25-15,SET COLLAR,1,11.44,11.44
79,MSM1,MISUMI,MSSK4-3,SET SCREWS DIMPLE,10,0.36,3.6
80,MSM1,MISUMI,ATP16XL037-B-PUC,STANDARD PULLEY,1,15.4,15.4
81,MSM1,MISUMI,NKXZ25,Needle Roller Bearings,1,45.76,45.76
